filename,region,class
Anteroir_Teeth\12.jpg,anteroir,teeth
Anteroir_Teeth\120.jpg,anteroir,teeth
Anteroir_Teeth\129_jpg.rf.0ba0c0296a6e3f7d738168914f9b6f4b.jpg,anteroir,teeth
Anteroir_Teeth\14.jpg,anteroir,teeth
Anteroir_Teeth\163.jpg,anteroir,teeth
Anteroir_Teeth\167.jpg,anteroir,teeth
Anteroir_Teeth\17.jpg,anteroir,teeth
Anteroir_Teeth\18.jpg,anteroir,teeth
Anteroir_Teeth\19.jpg,anteroir,teeth
Anteroir_Teeth\20.jpg,anteroir,teeth
Anteroir_Teeth\22.jpg,anteroir,teeth
Anteroir_Teeth\23.jpg,anteroir,teeth
Anteroir_Teeth\288_jpg.rf.8d9d99f2e9713261786f248be55988ff.jpg,anteroir,teeth
Anteroir_Teeth\30.jpg,anteroir,teeth
Anteroir_Teeth\31.jpg,anteroir,teeth
Anteroir_Teeth\32.jpg,anteroir,teeth
Anteroir_Teeth\33.jpg,anteroir,teeth
Anteroir_Teeth\34.jpg,anteroir,teeth
Anteroir_Teeth\35.jpg,anteroir,teeth
Anteroir_Teeth\352_jpg.rf.0b25f623eab5b978377785bf29c789fc.jpg,anteroir,teeth
Anteroir_Teeth\36.jpg,anteroir,teeth
Anteroir_Teeth\37.jpg,anteroir,teeth
Anteroir_Teeth\38.jpg,anteroir,teeth
Anteroir_Teeth\39.jpg,anteroir,teeth
Anteroir_Teeth\4.jpg,anteroir,teeth
Anteroir_Teeth\40.jpg,anteroir,teeth
Anteroir_Teeth\45.jpg,anteroir,teeth
Anteroir_Teeth\46.jpg,anteroir,teeth
Anteroir_Teeth\464_jpg.rf.12ee8c065a797d458fa176724b3879be.jpg,anteroir,teeth
Anteroir_Teeth\54.jpg,anteroir,teeth
Anteroir_Teeth\57.jpg,anteroir,teeth
Anteroir_Teeth\608_jpg.rf.e79e275c1cb260945f2c6d8c2f836218.jpg,anteroir,teeth
Anteroir_Teeth\62.jpg,anteroir,teeth
Anteroir_Teeth\63.jpg,anteroir,teeth
Anteroir_Teeth\64.jpg,anteroir,teeth
Anteroir_Teeth\65.jpg,anteroir,teeth
Anteroir_Teeth\68.jpg,anteroir,teeth
Anteroir_Teeth\69.jpg,anteroir,teeth
Anteroir_Teeth\7.jpg,anteroir,teeth
Anteroir_Teeth\70.jpg,anteroir,teeth
Anteroir_Teeth\71.jpg,anteroir,teeth
Anteroir_Teeth\72.jpg,anteroir,teeth
Anteroir_Teeth\73.jpg,anteroir,teeth
Anteroir_Teeth\74.jpg,anteroir,teeth
Anteroir_Teeth\75.jpg,anteroir,teeth
Anteroir_Teeth\78.jpg,anteroir,teeth
Anteroir_Teeth\80.jpg,anteroir,teeth
Anteroir_Teeth\81.jpg,anteroir,teeth
Anteroir_Teeth\82.jpg,anteroir,teeth
Anteroir_Teeth\83.jpg,anteroir,teeth
Anteroir_Teeth\837_jpg.rf.cd9066ef805f397946da9db135d86a98.jpg,anteroir,teeth
Anteroir_Teeth\9.jpg,anteroir,teeth
Anteroir_Teeth\image.jpg,anteroir,teeth
Anteroir_Teeth\image10.jpg,anteroir,teeth
Anteroir_Teeth\Image2.jpg,anteroir,teeth
Anteroir_Teeth\image3.jpg,anteroir,teeth
Anteroir_Teeth\image4.jpg,anteroir,teeth
Anteroir_Teeth\image5.jpg,anteroir,teeth
Anteroir_Teeth\image6.jpg,anteroir,teeth
Anteroir_Teeth\image7.jpg,anteroir,teeth
Anteroir_Teeth\image8.jpg,anteroir,teeth
Anteroir_Teeth\images.jpg,anteroir,teeth
Healthy_Teeth\140_jpg.rf.f0f5085d0179d5acaca4e93f975bbae4.jpg,healthy,teeth
Healthy_Teeth\2151_jpg.rf.e67ea1ce68ced3cd08f0b6cee38bcb0c.jpg,healthy,teeth
Healthy_Teeth\2237_jpg.rf.9c981b5c9d969a9c91e3dcbbe8f41a36.jpg,healthy,teeth
Healthy_Teeth\2242_jpg.rf.7ab17cd55456f0309f84821f428c330c.jpg,healthy,teeth
Healthy_Teeth\230_jpg.rf.c50ba94012f9eeb4ce1dcbb3b1c1b0b6.jpg,healthy,teeth
Healthy_Teeth\250_jpg.rf.d6f9153ebbc41056762a324520d3db72.jpg,healthy,teeth
Healthy_Teeth\286_jpg.rf.d18013c04500108fc65fffbacb87936f.jpg,healthy,teeth
Healthy_Teeth\287_jpg.rf.d42945be4a5b8283487d6ff68884f0e7.jpg,healthy,teeth
Healthy_Teeth\311_jpg.rf.43b8bc94f0650b700942c1125899054c.jpg,healthy,teeth
Healthy_Teeth\540_jpg.rf.a4cf42bb8b84f97c15849d7f9482e313.jpg,healthy,teeth
Healthy_Teeth\944_jpg.rf.7e285fc39228d5b046c849215bcba337.jpg,healthy,teeth
Mixed_Caries\13.jpg,mixed,caries
Mixed_Caries\148.jpg,mixed,caries
Mixed_Caries\158.jpg,mixed,caries
Mixed_Caries\165.jpg,mixed,caries
Mixed_Caries\168.jpg,mixed,caries
Mixed_Caries\169.jpg,mixed,caries
Mixed_Caries\178.jpg,mixed,caries
Mixed_Caries\186.jpg,mixed,caries
Mixed_Caries\25.jpg,mixed,caries
Mixed_Caries\3.jpg,mixed,caries
Mixed_Caries\41.jpg,mixed,caries
Mixed_Caries\48.jpg,mixed,caries
Mixed_Caries\49.jpg,mixed,caries
Mixed_Caries\51.jpg,mixed,caries
Mixed_Caries\52.jpg,mixed,caries
Mixed_Caries\56.jpg,mixed,caries
Mixed_Caries\67.jpg,mixed,caries
Mixed_Caries\90.jpg,mixed,caries
Mixed_Caries\95.jpg,mixed,caries
Mixed_Caries\image9.jpg,mixed,caries
Posterior_Teeth\107_jpg.rf.921a4da098463349f34c844ce14a390d.jpg,posterior,teeth
Posterior_Teeth\110.jpg,posterior,teeth
Posterior_Teeth\111.jpg,posterior,teeth
Posterior_Teeth\113.jpg,posterior,teeth
Posterior_Teeth\114.jpg,posterior,teeth
Posterior_Teeth\115.jpg,posterior,teeth
Posterior_Teeth\116.jpg,posterior,teeth
Posterior_Teeth\123.jpg,posterior,teeth
Posterior_Teeth\127.jpg,posterior,teeth
Posterior_Teeth\130.jpg,posterior,teeth
Posterior_Teeth\1329_jpg.rf.eba5b16a6a251705e3dbb757c4621f22.jpg,posterior,teeth
Posterior_Teeth\136.jpg,posterior,teeth
Posterior_Teeth\137.jpg,posterior,teeth
Posterior_Teeth\141.jpg,posterior,teeth
Posterior_Teeth\142.jpg,posterior,teeth
Posterior_Teeth\145.jpg,posterior,teeth
Posterior_Teeth\147.jpg,posterior,teeth
Posterior_Teeth\150.jpg,posterior,teeth
Posterior_Teeth\151.jpg,posterior,teeth
Posterior_Teeth\152.jpg,posterior,teeth
Posterior_Teeth\154.jpg,posterior,teeth
Posterior_Teeth\156.jpg,posterior,teeth
Posterior_Teeth\159.jpg,posterior,teeth
Posterior_Teeth\1834_jpg.rf.a612f4def50a14a251833c8bd84a2ea6.jpg,posterior,teeth
Posterior_Teeth\188.jpg,posterior,teeth
Posterior_Teeth\2.jpg,posterior,teeth
Posterior_Teeth\210.jpg,posterior,teeth
Posterior_Teeth\2134_jpg.rf.60959cebf0b44ad97aad2a2432397932.jpg,posterior,teeth
Posterior_Teeth\2247_jpg.rf.d5034b87be7e8fbac2c31c42b8bb7ddf.jpg,posterior,teeth
Posterior_Teeth\24.jpg,posterior,teeth
Posterior_Teeth\2458_jpg.rf.9dbc58e09aaaacb654a24c9b215659a8.jpg,posterior,teeth
Posterior_Teeth\26.jpg,posterior,teeth
Posterior_Teeth\27.jpg,posterior,teeth
Posterior_Teeth\3230_jpg.rf.4548a6c3a11117f5c9d3c0aee1c92ab1.jpg,posterior,teeth
Posterior_Teeth\5.jpg,posterior,teeth
Posterior_Teeth\53.jpg,posterior,teeth
Posterior_Teeth\55.jpg,posterior,teeth
Posterior_Teeth\590_jpg.rf.6945283e5ad2ba98d1ed1634239db964.jpg,posterior,teeth
Posterior_Teeth\604_jpg.rf.a84b28ad548e348f125e47c897d1e3ef.jpg,posterior,teeth
Posterior_Teeth\619_jpg.rf.6cbfc73d9d2de8988199336752a6432a.jpg,posterior,teeth
Posterior_Teeth\640_jpg.rf.c5337400170ede8a18426db24ac738d9.jpg,posterior,teeth
Posterior_Teeth\834_jpg.rf.83197c9eefeb441da57d7577ce3560be.jpg,posterior,teeth
Posterior_Teeth\85.jpg,posterior,teeth
Posterior_Teeth\86.jpg,posterior,teeth
Posterior_Teeth\88.jpg,posterior,teeth
Posterior_Teeth\89.jpg,posterior,teeth
Posterior_Teeth\93.jpg,posterior,teeth
Posterior_Teeth\96.jpg,posterior,teeth
Posterior_Teeth\98.jpg,posterior,teeth
Posterior_Teeth\99.jpg,posterior,teeth
