epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23266,1.99867,3.28793,1.99794,0.01637,1,0.1536,0.04891,2.09576,3.39981,1.99861,1.429e-05,1.429e-05,1.429e-05
2,16.0198,2.03507,3.39808,2.09554,0.01565,1,0.16924,0.05074,1.91268,3.42808,1.90275,4.24456e-05,4.24456e-05,4.24456e-05
3,22.8217,2.33562,3.38161,2.32115,0.0152,1,0.32725,0.10597,1.80793,3.35752,1.80258,7.00353e-05,7.00353e-05,7.00353e-05
4,30.1819,1.95752,3.29318,2.02397,0.01522,1,0.37598,0.11886,1.79792,3.27799,1.78901,9.70591e-05,9.70591e-05,9.70591e-05
5,36.5631,2.17526,3.43482,2.27466,0.01441,1,0.40599,0.13509,1.72271,3.29006,1.82162,0.000123517,0.000123517,0.000123517
6,44.1679,1.97316,3.15823,1.93044,0.01433,1,0.33883,0.11799,1.71979,3.2961,1.8427,0.000149409,0.000149409,0.000149409
7,52.1925,1.72486,3.11621,1.84735,0.01335,1,0.26291,0.12303,1.68396,3.27391,1.801,0.000174735,0.000174735,0.000174735
8,58.6039,1.59848,2.90823,1.67583,0.01316,1,0.2483,0.11588,1.62372,3.25499,1.82414,0.000199496,0.000199496,0.000199496
9,66.2085,1.72862,2.91026,1.79812,0.01364,1,0.29181,0.11777,1.7713,3.20966,1.89743,0.00022369,0.00022369,0.00022369
10,73.7165,1.76142,2.856,1.78842,0.01328,1,0.30422,0.12443,1.92449,3.17439,1.92037,0.000247318,0.000247318,0.000247318
11,81.068,1.85842,2.79878,1.93098,0.013,1,0.25543,0.1032,1.91142,3.1801,1.84734,0.000270381,0.000270381,0.000270381
12,88.95,1.61896,2.6369,1.73371,0.013,1,0.25543,0.1032,1.91142,3.1801,1.84734,0.000292878,0.000292878,0.000292878
13,96.9201,1.68594,2.71625,1.71224,0.01261,1,0.36732,0.10955,1.92984,3.13533,1.84688,0.000314809,0.000314809,0.000314809
14,106.101,1.45893,2.5405,1.60472,0.0128,1,0.43204,0.14373,2.00217,3.11132,1.89908,0.000336174,0.000336174,0.000336174
15,113.082,1.58702,2.42761,1.79592,0.0128,1,0.43204,0.14373,2.00217,3.11132,1.89908,0.000356973,0.000356973,0.000356973
16,119.766,1.61862,2.36885,1.74367,0.0129,1,0.4543,0.17295,1.8637,3.0035,1.80019,0.000377206,0.000377206,0.000377206
17,126.8,1.72159,2.16888,1.69029,0.01279,1,0.41492,0.18619,1.7889,2.93672,1.7517,0.000396873,0.000396873,0.000396873
18,134.058,1.64222,2.2032,1.72712,0.01279,1,0.41492,0.18619,1.7889,2.93672,1.7517,0.000415975,0.000415975,0.000415975
