epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1873,3.00323,3.54739,2.01009,0.00369,0.26316,0.03795,0.01486,2.7599,3.33939,1.81394,0.00030006,0.00030006,0.00030006
1,30.7427,3.15736,2.69688,2.00311,0.00095,0.53684,0.00363,0.00066,4.54612,3.85469,2.77925,0.00030006,0.00030006,0.00030006
1,28.7561,2.91135,2.99359,1.90992,0.00243,0.15263,0.05321,0.01883,3.29297,2.84559,2.11721,0.00030006,0.00030006,0.00030006
2,56.2029,2.6776,2.69064,1.8021,0.70923,0.06818,0.08956,0.03695,2.53407,2.2976,1.71234,0.000555728,0.000555728,0.000555728
3,81.1694,2.6383,2.58487,1.66281,0.76116,0.13158,0.14759,0.05625,2.49903,2.19036,1.55494,0.000748683,0.000748683,0.000748683
4,105.987,2.47527,2.4357,1.56479,0.86126,0.15077,0.18289,0.06661,2.43847,1.98426,1.45299,0.000878926,0.000878926,0.000878926
5,130.064,2.7018,2.71678,1.65773,0.88135,0.13684,0.17285,0.06485,2.42445,2.02702,1.39668,0.000946456,0.000946456,0.000946456
6,152.94,2.44517,2.29659,1.53851,0.82891,0.17895,0.20116,0.08779,2.29039,1.80656,1.36926,0.000841835,0.000841835,0.000841835
7,175.604,2.40656,2.26655,1.49224,0.83086,0.17368,0.18217,0.06972,2.36115,1.77699,1.37356,0.000676802,0.000676802,0.000676802
8,198.388,2.34069,2.27463,1.49894,0.86619,0.17285,0.20827,0.07162,2.47639,1.78607,1.41055,0.000511769,0.000511769,0.000511769
9,220.889,2.33928,2.25536,1.48189,0.87272,0.16956,0.20429,0.08379,2.27132,1.59999,1.3607,0.000346736,0.000346736,0.000346736
10,246.404,2.25675,2.10514,1.41611,0.84961,0.16842,0.1964,0.08846,2.23572,1.57077,1.35541,0.000181703,0.000181703,0.000181703
1,25.3721,2.38008,2.16447,1.48475,0.81466,0.16842,0.18013,0.05039,2.60776,1.79739,1.43582,0.00030006,0.00030006,0.00030006
2,49.4074,2.45745,2.08736,1.469,0.34117,0.20352,0.24068,0.08602,2.27783,1.68513,1.31791,0.000612974,0.000612974,0.000612974
3,73.2459,2.38325,2.05401,1.38735,0.71067,0.1533,0.12874,0.04374,2.53997,1.94095,1.45798,0.000921968,0.000921968,0.000921968
4,96.2216,2.39903,2.17051,1.40608,0.79672,0.17368,0.17824,0.08056,2.28229,1.55948,1.41891,0.00122704,0.00122704,0.00122704
5,122.214,2.43507,2.10833,1.39408,0.84815,0.15263,0.20973,0.06444,2.58703,1.63838,1.46237,0.0015282,0.0015282,0.0015282
6,148.323,2.43905,2.01216,1.41228,0.27406,0.20429,0.19788,0.08116,2.17274,1.5422,1.30932,0.00161543,0.00161543,0.00161543
7,173.601,2.45684,2.16336,1.40506,0.20443,0.18421,0.15921,0.05499,2.41755,1.75152,1.37487,0.00160511,0.00160511,0.00160511
8,197.248,2.27035,2.05409,1.35787,0.72204,0.20602,0.16326,0.06622,2.27082,1.73892,1.33946,0.0015948,0.0015948,0.0015948
9,220.15,2.28131,1.94774,1.36969,0.19098,0.1659,0.16301,0.06529,2.22794,1.83233,1.3247,0.00158448,0.00158448,0.00158448
10,245.511,2.429,2.04167,1.38729,0.2738,0.18421,0.19384,0.08169,2.22027,1.51367,1.34633,0.00157417,0.00157417,0.00157417
11,269.624,2.4844,2.09677,1.36842,0.22988,0.11053,0.13242,0.04337,2.53155,2.00945,1.42385,0.00156385,0.00156385,0.00156385
12,293.285,2.29417,1.98849,1.31557,0.27095,0.17368,0.17957,0.08415,2.2302,1.62148,1.36288,0.00155354,0.00155354,0.00155354
13,316.717,2.45243,2.33383,1.38324,0.2717,0.17368,0.15851,0.04761,2.40213,1.88502,1.35082,0.00154323,0.00154323,0.00154323
14,340.452,2.24874,2.02362,1.27295,0.28323,0.23158,0.21851,0.09468,2.16595,1.56173,1.35395,0.00153291,0.00153291,0.00153291
15,362.282,2.16744,2.02031,1.27449,0.19692,0.17368,0.13571,0.04574,2.47077,1.76208,1.39143,0.0015226,0.0015226,0.0015226
16,384.28,2.34582,2.09331,1.3516,0.30648,0.17368,0.19776,0.08178,2.28278,1.54414,1.3714,0.00151228,0.00151228,0.00151228
17,406.239,2.23665,1.87889,1.29937,0.29715,0.20526,0.21543,0.07944,2.30036,1.5078,1.34172,0.00150197,0.00150197,0.00150197
18,429.237,2.17713,1.97669,1.31144,0.238,0.2,0.17641,0.08316,2.29211,1.62427,1.36969,0.00149165,0.00149165,0.00149165
19,452.787,2.16281,1.81307,1.28046,0.30721,0.21808,0.22664,0.08032,2.43906,1.51329,1.39449,0.00148134,0.00148134,0.00148134
20,477.048,2.1721,1.82283,1.25319,0.26225,0.22632,0.20106,0.08285,2.22318,1.60858,1.32453,0.00147102,0.00147102,0.00147102
21,500.389,2.35935,1.97317,1.32738,0.82107,0.17368,0.19435,0.07844,2.17838,1.67006,1.32208,0.00146071,0.00146071,0.00146071
22,524.7,2.37091,1.97791,1.34339,0.80795,0.18421,0.20917,0.0736,2.34847,1.59271,1.36508,0.00145039,0.00145039,0.00145039
23,549.144,2.19621,1.8613,1.27235,0.39892,0.1662,0.20616,0.09103,2.12882,1.52849,1.33504,0.00144008,0.00144008,0.00144008
24,572.579,2.19963,1.83126,1.29004,0.3063,0.19975,0.21678,0.0914,2.13458,1.56209,1.30991,0.00142977,0.00142977,0.00142977
25,595.818,2.12312,1.78971,1.23482,0.32832,0.17113,0.2076,0.07489,2.26544,1.66025,1.32293,0.00141945,0.00141945,0.00141945
26,619.656,2.21798,1.85965,1.27488,0.7581,0.17895,0.19965,0.09159,2.16593,1.55007,1.34344,0.00140914,0.00140914,0.00140914
27,643.482,2.07337,1.8039,1.23443,0.27513,0.16842,0.18652,0.07169,2.21216,1.80848,1.28197,0.00139882,0.00139882,0.00139882
28,666.578,2.10044,1.90803,1.26889,0.81168,0.17895,0.19048,0.07934,2.15306,1.61056,1.30017,0.00138851,0.00138851,0.00138851
29,690.469,2.18048,1.75583,1.26683,0.27358,0.17807,0.1755,0.07402,2.14266,1.62479,1.30716,0.00137819,0.00137819,0.00137819
30,714.335,2.18963,1.80319,1.25008,0.34133,0.17895,0.19634,0.07855,2.17946,1.66043,1.31569,0.00136788,0.00136788,0.00136788
31,738.736,2.18576,1.80375,1.24935,0.2896,0.20526,0.21633,0.07862,2.23745,1.63197,1.34484,0.00135756,0.00135756,0.00135756
32,762.102,2.11264,1.83432,1.24219,0.29575,0.18421,0.20486,0.07923,2.25898,1.59676,1.3614,0.00134725,0.00134725,0.00134725
33,786.242,2.1222,1.78714,1.24796,0.35456,0.17895,0.20957,0.08911,2.21824,1.56153,1.34568,0.00133693,0.00133693,0.00133693
34,810.026,2.03545,1.66532,1.21784,0.28437,0.18049,0.19246,0.08,2.21377,1.68269,1.38615,0.00132662,0.00132662,0.00132662
35,834.425,2.17246,1.79643,1.26393,0.32851,0.19158,0.21526,0.08616,2.19518,1.53192,1.33236,0.0013163,0.0013163,0.0013163
36,860.187,2.22433,1.91161,1.24533,0.26792,0.2,0.18584,0.07034,2.19427,1.78934,1.31416,0.00130599,0.00130599,0.00130599
37,884.169,2.03648,1.64343,1.20869,0.31005,0.18043,0.19077,0.0826,2.17192,1.69788,1.34158,0.00129568,0.00129568,0.00129568
38,909.728,2.09792,1.78238,1.21122,0.30676,0.18421,0.19313,0.07732,2.30058,1.67355,1.35111,0.00128536,0.00128536,0.00128536
39,935.587,2.13361,1.89464,1.25685,0.31641,0.18947,0.21923,0.08843,2.18843,1.68115,1.28413,0.00127505,0.00127505,0.00127505
40,959.814,2.03767,1.7608,1.22067,0.36187,0.17925,0.2296,0.09513,2.16827,1.50826,1.32945,0.00126473,0.00126473,0.00126473
41,984.199,2.00552,1.59984,1.21299,0.28538,0.20997,0.21893,0.09389,2.06683,1.54053,1.30815,0.00125442,0.00125442,0.00125442
42,1008.25,2.06475,1.77779,1.23159,0.28653,0.16956,0.18776,0.07712,2.15691,1.70096,1.33293,0.0012441,0.0012441,0.0012441
43,1032.62,2.13089,1.7178,1.25331,0.88367,0.17895,0.22833,0.08955,2.23541,1.52863,1.35864,0.00123379,0.00123379,0.00123379
44,1058.4,2.10982,1.74203,1.24437,0.28723,0.18473,0.20497,0.07812,2.34576,1.73126,1.38843,0.00122347,0.00122347,0.00122347
45,1082.19,1.92684,1.60792,1.16834,0.78795,0.15263,0.16622,0.06549,2.33042,1.7319,1.40814,0.00121316,0.00121316,0.00121316
46,1108.38,1.99798,1.68305,1.20287,0.27123,0.21579,0.21445,0.08329,2.26559,1.49164,1.33233,0.00120284,0.00120284,0.00120284
47,1132.61,2.0306,1.67166,1.20189,0.22995,0.25263,0.22529,0.09018,2.25024,1.48229,1.35684,0.00119253,0.00119253,0.00119253
48,1156.74,1.96509,1.61003,1.18771,0.28016,0.18421,0.1941,0.08023,2.26834,1.59971,1.35228,0.00118222,0.00118222,0.00118222
49,1180.9,1.96744,1.60501,1.219,0.31874,0.17588,0.19804,0.08319,2.20292,1.56974,1.31825,0.0011719,0.0011719,0.0011719
50,1204.01,2.08763,1.70363,1.26136,0.2545,0.17895,0.17781,0.06301,2.30451,1.74035,1.33543,0.00116159,0.00116159,0.00116159
51,1226.91,1.96127,1.64858,1.19686,0.28998,0.18895,0.19553,0.08404,2.18822,1.64991,1.33814,0.00115127,0.00115127,0.00115127
52,1250.77,1.97242,1.64233,1.20004,0.30914,0.17895,0.20295,0.08856,2.16432,1.66953,1.3094,0.00114096,0.00114096,0.00114096
53,1277.51,2.11146,1.71006,1.24674,0.29086,0.2,0.22183,0.08258,2.32716,1.68505,1.33351,0.00113064,0.00113064,0.00113064
54,1301.33,1.92924,1.49996,1.15714,0.29236,0.21053,0.21131,0.08385,2.21003,1.61726,1.31467,0.00112033,0.00112033,0.00112033
55,1326.59,1.90527,1.52685,1.14429,0.25371,0.18947,0.17672,0.06684,2.38296,1.74474,1.36341,0.00111001,0.00111001,0.00111001
56,1351.26,1.98295,1.58832,1.20294,0.28525,0.18947,0.19255,0.0753,2.18776,1.59161,1.31608,0.0010997,0.0010997,0.0010997
57,1375.43,1.95979,1.61939,1.18138,0.30308,0.20526,0.21748,0.08753,2.22387,1.58047,1.28719,0.00108938,0.00108938,0.00108938
58,1400.08,2.00052,1.62581,1.17885,0.2628,0.17895,0.19198,0.07369,2.23638,1.76279,1.32412,0.00107907,0.00107907,0.00107907
59,1424.07,1.93818,1.56447,1.16644,0.27924,0.18947,0.19483,0.0825,2.28449,1.65303,1.32761,0.00106876,0.00106876,0.00106876
60,1447.54,1.90378,1.54701,1.15369,0.269,0.20228,0.1999,0.08463,2.20538,1.59036,1.30222,0.00105844,0.00105844,0.00105844
61,1472.73,1.91647,1.61966,1.17655,0.3024,0.16842,0.1739,0.07648,2.18514,1.67406,1.31485,0.00104813,0.00104813,0.00104813
62,1496.43,2.06387,1.74695,1.2181,0.27177,0.19429,0.1881,0.07602,2.24977,1.74555,1.30792,0.00103781,0.00103781,0.00103781
63,1520.61,2.034,1.6815,1.18344,0.34841,0.2,0.22126,0.08725,2.29368,1.51868,1.34096,0.0010275,0.0010275,0.0010275
