epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74711,1.86573,4.37029,1.24582,0.00293,0.04,0.00153,0.00015,1.89934,4.43404,1.45347,3.75e-05,3.75e-05,3.75e-05
1,11.3177,2.4465,4.36134,1.48566,0,0,0,0,2.37076,4.38226,1.52543,6.25e-05,6.25e-05,6.25e-05
1,7.78679,2.33024,4.07444,1.54263,0.00145,0.54211,0.00165,0.00084,2.43888,4.03204,1.52995,8.335e-05,8.335e-05,8.335e-05
2,13.2096,2.19754,3.72966,1.48141,0.0048,0.67368,0.00778,0.00271,2.5391,3.85581,1.3668,0.000165216,0.000165216,0.000165216
3,19.409,2.00436,2.92527,1.26647,0.00705,0.77895,0.01581,0.00507,2.46809,3.60692,1.28169,0.000227279,0.000227279,0.000227279
4,27.4305,2.04118,2.15478,1.21106,0.00747,0.78947,0.08275,0.02326,2.36572,3.31046,1.25693,0.000269537,0.000269537,0.000269537
5,34.0145,2.06797,1.75979,1.20254,0.00909,0.88947,0.12301,0.0441,2.23543,2.85765,1.25739,0.000291992,0.000291992,0.000291992
6,39.2142,2.00092,1.71088,1.17765,0.75928,0.06239,0.15291,0.05908,2.28484,2.50197,1.34298,0.000294642,0.000294642,0.000294642
7,44.5493,1.95188,1.59447,1.19325,0.75463,0.08743,0.14503,0.04988,2.3631,2.39962,1.37059,0.000277489,0.000277489,0.000277489
8,49.7677,1.99463,1.57925,1.17224,0.79272,0.12635,0.1454,0.0547,2.29926,2.31206,1.35121,0.000240531,0.000240531,0.000240531
9,55.1307,1.9342,1.52445,1.16829,0.79007,0.16316,0.17098,0.0643,2.26731,2.20495,1.32811,0.00018377,0.00018377,0.00018377
10,61.1517,1.87839,1.48794,1.14489,0.80787,0.16842,0.17623,0.06802,2.22954,2.15045,1.30241,0.000107205,0.000107205,0.000107205
1,12.3709,2.44014,4.0116,1.4807,0.00159,0.54737,0.00163,0.00081,2.36948,4.02828,1.51005,8.335e-05,8.335e-05,8.335e-05
2,20.1639,2.40044,3.75569,1.44015,0.0033,0.61579,0.00476,0.00195,2.37201,3.87978,1.36226,0.000182235,0.000182235,0.000182235
3,26.0707,2.17042,2.91455,1.3023,0.005,0.68947,0.00839,0.00428,2.27103,3.60137,1.27562,0.000279883,0.000279883,0.000279883
4,32.4255,2.25348,2.18542,1.22164,0.00688,0.74737,0.0862,0.03378,2.29501,3.2693,1.28563,0.000376293,0.000376293,0.000376293
5,37.7859,2.10981,1.92646,1.19688,0.00954,0.83158,0.11894,0.0472,2.13327,2.83196,1.26729,0.000471465,0.000471465,0.000471465
6,43.4809,1.99626,1.63654,1.14098,0.82119,0.09455,0.14068,0.06295,2.28497,2.61416,1.37017,0.0005654,0.0005654,0.0005654
7,48.9589,2.06822,1.73897,1.20162,0.76835,0.10976,0.12633,0.05515,2.33328,2.56023,1.45478,0.000658096,0.000658096,0.000658096
8,55.2087,1.96122,1.61376,1.15994,0.73305,0.14737,0.13376,0.06112,2.28424,2.32144,1.35783,0.000749555,0.000749555,0.000749555
9,60.9663,1.91278,1.50702,1.16126,0.79863,0.12105,0.15163,0.06607,2.287,2.3517,1.33667,0.000839776,0.000839776,0.000839776
10,66.8177,1.97385,1.48888,1.13343,0.74307,0.13158,0.1413,0.05291,2.39774,2.30982,1.37532,0.00092876,0.00092876,0.00092876
11,71.9208,1.88352,1.47805,1.1104,0.25346,0.17856,0.16771,0.07656,2.20233,1.96157,1.30812,0.00101651,0.00101651,0.00101651
12,77.0225,1.83521,1.37363,1.11525,0.15274,0.15789,0.10848,0.04731,2.18842,1.99746,1.31612,0.00110301,0.00110301,0.00110301
13,86.3481,2.02616,1.64188,1.17353,0.67289,0.13158,0.13185,0.0444,2.64962,2.19982,1.36386,0.00118828,0.00118828,0.00118828
