epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78259,0,17.0636,0,0,0,0,0,0,43.7467,0,3.75e-05,3.75e-05,3.75e-05
1,5.47309,0,17.0636,0,0,0,0,0,0,43.7467,0,3.75e-05,3.75e-05,3.75e-05
2,9.2497,0,16.8786,0,0,0,0,0,0,43.7794,0,8.69586e-05,8.69586e-05,8.69586e-05
3,12.974,0,16.5993,0,0,0,0,0,0,43.7864,0,0.000135798,0.000135798,0.000135798
4,16.519,0,16.3007,0,0,0,0,0,0,43.7568,0,0.00018402,0.00018402,0.00018402
5,20.0118,0,15.9434,0,0,0,0,0,0,43.7173,0,0.000231622,0.000231622,0.000231622
6,23.4373,0,15.684,0,0,0,0,0,0,43.7066,0,0.000278605,0.000278605,0.000278605
7,26.8456,0,15.3461,0,0,0,0,0,0,43.8942,0,0.00032497,0.00032497,0.00032497
8,30.4419,0,14.9896,0,0,0,0,0,0,44.2359,0,0.000370716,0.000370716,0.000370716
9,33.8319,0,14.6674,0,0,0,0,0,0,43.5514,0,0.000415844,0.000415844,0.000415844
10,37.3518,0,14.4888,0,0,0,0,0,0,43.2658,0,0.000460352,0.000460352,0.000460352
11,40.9354,0,13.8803,0,0,0,0,0,0,48.9155,0,0.000504242,0.000504242,0.000504242
12,44.2291,0,13.4774,0,0,0,0,0,0,40.1148,0,0.000547513,0.000547513,0.000547513
13,47.8486,0,13.1639,0,0,0,0,0,0,37.3559,0,0.000590166,0.000590166,0.000590166
14,51.0767,0,12.8291,0,0,0,0,0,0,36.2935,0,0.000632199,0.000632199,0.000632199
15,54.4649,0,12.6802,0,0,0,0,0,0,33.5968,0,0.000673614,0.000673614,0.000673614
1,9.2876,0,17.0636,0,0,0,0,0,0,43.7467,0,3.75e-05,3.75e-05,3.75e-05
2,15.999,0,16.8786,0,0,0,0,0,0,43.7794,0,8.69586e-05,8.69586e-05,8.69586e-05
3,22.4395,0,16.5993,0,0,0,0,0,0,43.7864,0,0.000135798,0.000135798,0.000135798
4,28.4605,0,16.3007,0,0,0,0,0,0,43.7568,0,0.00018402,0.00018402,0.00018402
5,34.1071,0,15.9434,0,0,0,0,0,0,43.7173,0,0.000231622,0.000231622,0.000231622
6,39.6221,0,15.684,0,0,0,0,0,0,43.7066,0,0.000278605,0.000278605,0.000278605
7,45.2612,0,15.3461,0,0,0,0,0,0,43.8942,0,0.00032497,0.00032497,0.00032497
8,50.6631,0,14.9896,0,0,0,0,0,0,44.2359,0,0.000370716,0.000370716,0.000370716
9,56.1294,0,14.6674,0,0,0,0,0,0,43.5514,0,0.000415844,0.000415844,0.000415844
10,61.7417,0,14.4888,0,0,0,0,0,0,43.2658,0,0.000460352,0.000460352,0.000460352
11,67.4565,0,13.8803,0,0,0,0,0,0,48.9155,0,0.000504242,0.000504242,0.000504242
12,72.9502,0,13.4774,0,0,0,0,0,0,40.1148,0,0.000547513,0.000547513,0.000547513
13,79.0595,0,13.1639,0,0,0,0,0,0,37.3559,0,0.000590166,0.000590166,0.000590166
14,84.472,0,12.8291,0,0,0,0,0,0,36.2935,0,0.000632199,0.000632199,0.000632199
15,89.8032,0,12.6802,0,0,0,0,0,0,33.5968,0,0.000673614,0.000673614,0.000673614
16,94.9135,0,12.4519,0,0,0,0,0,0,32.6813,0,0.00071441,0.00071441,0.00071441
17,100.182,0,12.3369,0,0,0,0,0,0,31.9235,0,0.000754588,0.000754588,0.000754588
18,106.858,0,12.1479,0,0,0,0,0,0,31.1654,0,0.000794146,0.000794146,0.000794146
19,112.621,0,11.8991,0,0,0,0,0,0,29.7035,0,0.000833086,0.000833086,0.000833086
20,118.681,0,11.7247,0,0,0,0,0,0,28.3878,0,0.000871407,0.000871407,0.000871407
21,124.705,0,11.5609,0,0,0,0,0,0,25.6301,0,0.000909109,0.000909109,0.000909109
22,134.953,0,11.4174,0,0,0,0,0,0,24.7785,0,0.000946193,0.000946193,0.000946193
23,140.451,0,11.3816,0,0,0,0,0,0,25.6303,0,0.000982658,0.000982658,0.000982658
24,145.794,0,11.0511,0,0,0,0,0,0,29.5868,0,0.0010185,0.0010185,0.0010185
25,150.948,0,10.893,0,0,0,0,0,0,27.3378,0,0.00105373,0.00105373,0.00105373
26,156.37,0,10.7132,0,0,0,0,0,0,30.111,0,0.00105664,0.00105664,0.00105664
27,162.156,0,10.5308,0,0,0,0,0,0,62.4865,0,0.00104891,0.00104891,0.00104891
28,167.464,0,10.356,0,0,0,0,0,0,78.9664,0,0.00104117,0.00104117,0.00104117
29,172.892,0,10.2476,0,0,0,0,0,0,229.126,0,0.00103344,0.00103344,0.00103344
30,178.242,0,10.073,0,0,0,0,0,0,74.1839,0,0.0010257,0.0010257,0.0010257
31,183.436,0,9.86694,0,0,0,0,0,0,20.4949,0,0.00101797,0.00101797,0.00101797
32,188.482,0,9.70121,0,0,0,0,0,0,21.704,0,0.00101023,0.00101023,0.00101023
33,193.673,0,9.54304,0,0,0,0,0,0,29.5624,0,0.0010025,0.0010025,0.0010025
34,199.146,0,9.38901,0,0,0,0,0,0,146.911,0,0.000994766,0.000994766,0.000994766
35,204.733,0,9.30118,0,0,0,0,0,0,604.788,0,0.000987031,0.000987031,0.000987031
36,209.901,0,9.1144,0,0,0,0,0,0,86.1504,0,0.000979297,0.000979297,0.000979297
37,215.209,0,8.96916,0,0,0,0,0,0,21.4324,0,0.000971562,0.000971562,0.000971562
38,220.453,0,8.81771,0,0,0,0,0,0,20.635,0,0.000963828,0.000963828,0.000963828
39,225.948,0,8.6795,0,0,0,0,0,0,19.9539,0,0.000956094,0.000956094,0.000956094
40,230.999,0,8.56122,0,0,0,0,0,0,19.5923,0,0.000948359,0.000948359,0.000948359
41,236.28,0,8.39566,0,0,0,0,0,0,19.8352,0,0.000940625,0.000940625,0.000940625
42,242.242,0,8.2658,0,0,0,0,0,0,19.909,0,0.000932891,0.000932891,0.000932891
43,248.097,0,8.12629,0,0,0,0,0,0,18.7709,0,0.000925156,0.000925156,0.000925156
44,253.768,0,8.00455,0,0,0,0,0,0,18.1536,0,0.000917422,0.000917422,0.000917422
45,259.505,0,7.86857,0,0,0,0,0,0,17.5304,0,0.000909688,0.000909688,0.000909688
46,266.901,0,7.7439,0,0,0,0,0,0,17.366,0,0.000901953,0.000901953,0.000901953
47,273.833,0,7.6219,0,0,0,0,0,0,17.4178,0,0.000894219,0.000894219,0.000894219
48,279.937,0,7.49996,0,0,0,0,0,0,17.6611,0,0.000886484,0.000886484,0.000886484
49,286.077,0,7.37361,0,0,0,0,0,0,17.8578,0,0.00087875,0.00087875,0.00087875
50,296.385,0,7.25674,0,0,0,0,0,0,17.6528,0,0.000871016,0.000871016,0.000871016
51,301.879,0,7.13375,0,0,0,0,0,0,17.265,0,0.000863281,0.000863281,0.000863281
52,307.317,0,7.01637,0,0,0,0,0,0,16.5621,0,0.000855547,0.000855547,0.000855547
53,313.877,0,6.9146,0,0,0,0,0,0,15.7709,0,0.000847813,0.000847813,0.000847813
54,320.829,0,6.79501,0,0,0,0,0,0,15.4889,0,0.000840078,0.000840078,0.000840078
55,326.402,0,6.69008,0,0,0,0,0,0,15.6642,0,0.000832344,0.000832344,0.000832344
56,332.207,0,6.58352,0,0,0,0,0,0,15.4829,0,0.000824609,0.000824609,0.000824609
57,338.855,0,6.48114,0,0,0,0,0,0,15.1061,0,0.000816875,0.000816875,0.000816875
58,344.566,0,6.37332,0,0,0,0,0,0,14.753,0,0.000809141,0.000809141,0.000809141
59,350.12,0,6.27272,0,0,0,0,0,0,14.8887,0,0.000801406,0.000801406,0.000801406
60,356.082,0,6.17953,0,0,0,0,0,0,15.7101,0,0.000793672,0.000793672,0.000793672
61,361.558,0,6.07732,0,0,0,0,0,0,15.565,0,0.000785938,0.000785938,0.000785938
62,367.387,0,5.97907,0,0,0,0,0,0,15.4151,0,0.000778203,0.000778203,0.000778203
63,372.553,0,5.88647,0,0,0,0,0,0,15.049,0,0.000770469,0.000770469,0.000770469
64,377.802,0,5.79268,0,0,0,0,0,0,14.1273,0,0.000762734,0.000762734,0.000762734
65,383.457,0,5.699,0,0,0,0,0,0,13.596,0,0.000755,0.000755,0.000755
66,388.56,0,5.61561,0,0,0,0,0,0,13.4718,0,0.000747266,0.000747266,0.000747266
67,393.799,0,5.52048,0,0,0,0,0,0,13.5904,0,0.000739531,0.000739531,0.000739531
68,399.122,0,5.44301,0,0,0,0,0,0,13.5921,0,0.000731797,0.000731797,0.000731797
69,404.355,0,5.3578,0,0,0,0,0,0,13.6812,0,0.000724062,0.000724062,0.000724062
70,409.994,0,5.27349,0,0,0,0,0,0,13.6749,0,0.000716328,0.000716328,0.000716328
71,415.88,0,5.19506,0,0,0,0,0,0,13.7812,0,0.000708594,0.000708594,0.000708594
72,421.485,0,5.11682,0,0,0,0,0,0,13.5711,0,0.000700859,0.000700859,0.000700859
73,427.024,0,5.03886,0,0,0,0,0,0,13.2796,0,0.000693125,0.000693125,0.000693125
74,432.501,0,4.96258,0,0,0,0,0,0,12.9962,0,0.000685391,0.000685391,0.000685391
75,438.093,0,4.89144,0,0,0,0,0,0,12.7554,0,0.000677656,0.000677656,0.000677656
76,443.308,0,4.81494,0,0,0,0,0,0,12.4535,0,0.000669922,0.000669922,0.000669922
77,448.924,0,4.74691,0,0,0,0,0,0,12.2289,0,0.000662188,0.000662188,0.000662188
78,454.03,0,4.67017,0,0,0,0,0,0,12.0841,0,0.000654453,0.000654453,0.000654453
79,463.664,0,4.60331,0,0,0,0,0,0,11.9274,0,0.000646719,0.000646719,0.000646719
80,469.282,0,4.5391,0,0,0,0,0,0,11.833,0,0.000638984,0.000638984,0.000638984
81,474.7,0,4.47626,0,0,0,0,0,0,11.6257,0,0.00063125,0.00063125,0.00063125
82,480.313,0,4.40424,0,0,0,0,0,0,11.431,0,0.000623516,0.000623516,0.000623516
83,485.608,0,4.33703,0,0,0,0,0,0,11.3621,0,0.000615781,0.000615781,0.000615781
84,494.456,0,4.2795,0,0,0,0,0,0,11.2322,0,0.000608047,0.000608047,0.000608047
85,499.96,0,4.23585,0,0,0,0,0,0,11.0117,0,0.000600313,0.000600313,0.000600313
86,505.245,0,4.16129,0,0,0,0,0,0,10.8056,0,0.000592578,0.000592578,0.000592578
87,510.648,0,4.10292,0,0,0,0,0,0,10.8463,0,0.000584844,0.000584844,0.000584844
88,515.892,0,4.05286,0,0,0,0,0,0,10.8365,0,0.000577109,0.000577109,0.000577109
89,521.307,0,4.00694,0,0,0,0,0,0,10.6709,0,0.000569375,0.000569375,0.000569375
90,527.06,0,3.93975,0,0,0,0,0,0,10.3516,0,0.000561641,0.000561641,0.000561641
91,533.324,0,3.8902,0,0,0,0,0,0,10.2175,0,0.000553906,0.000553906,0.000553906
92,538.579,0,3.84478,0,0,0,0,0,0,10.0923,0,0.000546172,0.000546172,0.000546172
93,543.934,0,3.79029,0,0,0,0,0,0,9.90581,0,0.000538438,0.000538438,0.000538438
