epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52628,3.44028,5.52139,3.30624,0.00333,0.25,0.00222,0.00022,2.97301,5.11538,3.37225,1.667e-05,1.667e-05,1.667e-05
2,11.1485,3.19371,4.79806,2.79915,0,0,0,0,3.14835,5.04915,3.44156,4.95149e-05,4.95149e-05,4.95149e-05
3,17.5995,2.72284,4.45104,2.69134,0.0034,0.25,0.00235,0.00023,3.18928,5.16563,3.39041,8.16997e-05,8.16997e-05,8.16997e-05
4,23.4495,2.416,4.80104,2.63899,0.00336,0.25,0.00276,0.00028,3.14218,5.00293,3.38707,0.000113224,0.000113224,0.000113224
5,28.9157,2.933,5.07159,2.91418,0,0,0,0,3.01396,4.92828,3.3184,0.000144089,0.000144089,0.000144089
6,34.7445,2.47319,4.40113,2.60705,0.0027,0.25,0.00179,0.00035,3.0254,4.92023,3.4274,0.000174293,0.000174293,0.000174293
7,40.7544,2.30826,4.28987,2.56562,0.00244,0.25,0.00175,0.00035,3.31425,4.85666,3.72344,0.000203837,0.000203837,0.000203837
8,47.0403,2.30171,4.2771,2.48346,0.00389,0.5,0.00393,0.00068,3.39703,4.90845,3.95085,0.000232722,0.000232722,0.000232722
9,53.0863,2.23347,3.90098,2.27853,0.00326,0.5,0.00301,0.00085,3.35207,5.08013,4.045,0.000260946,0.000260946,0.000260946
10,58.4703,2.20254,4.23271,2.28983,0.0028,0.5,0.00312,0.00125,3.23767,4.9341,3.78877,0.000288509,0.000288509,0.000288509
11,64.4837,2.02906,3.98965,2.18687,0.00504,1,0.0055,0.00168,3.12907,4.88364,3.55014,0.000315413,0.000315413,0.000315413
12,70.4908,2.06751,3.98957,2.33734,0.00504,1,0.0055,0.00168,3.12907,4.88364,3.55014,0.000341657,0.000341657,0.000341657
13,77.9519,2.0095,3.77597,2.05965,0.00339,0.75,0.00556,0.00148,3.17606,4.73878,3.67253,0.00036724,0.00036724,0.00036724
14,84.9462,1.90591,4.18427,2.01758,0.00457,1,0.0062,0.00145,3.14231,4.54014,3.71595,0.000392163,0.000392163,0.000392163
15,90.9038,2.23947,4.40874,2.39481,0.00457,1,0.0062,0.00145,3.14231,4.54014,3.71595,0.000416427,0.000416427,0.000416427
16,97.1793,1.78943,3.70285,1.90615,0.00476,1,0.00632,0.00142,3.02561,4.44903,3.78262,0.00044003,0.00044003,0.00044003
17,103.476,1.71449,3.49358,1.83609,0.00373,0.75,0.0067,0.00239,3.11859,4.54306,4.22771,0.000462973,0.000462973,0.000462973
18,108.345,2.05598,3.70076,2.14801,0.00373,0.75,0.0067,0.00239,3.11859,4.54306,4.22771,0.000485255,0.000485255,0.000485255
